Model Name,Matching Word,Downloads,created_at,last_modified,contains_paper,paper_code,paper_code_clean
neulab/codebert-python,code generation,232832,2022-09-23 15:01:36+00:00,2022-09-23 15:01:36+00:00,True,"{https://arxiv.org/abs/2302.05527},",https://arxiv.org/abs/2302.05527
THUDM/codegeex4-all-9b,code generation,234379,2024-07-05 02:09:57+00:00,2024-07-05 02:09:57+00:00,False,,
Salesforce/codet5p-110m-embedding,codegen,314358,2023-07-18 09:52:49+00:00,2023-07-18 09:52:49+00:00,True,Generation](https://arxiv.org/pdf/2305.07922.pdf),https://arxiv.org/pdf/2305.07922
vikhyatk/moondream1,codegen,220466,2024-01-20 18:10:04+00:00,2024-01-20 18:10:04+00:00,False,,
microsoft/Phi-3.5-mini-instruct,code generation,368764,2024-08-16 20:48:26+00:00,2024-08-16 20:48:26+00:00,True,Report](https://arxiv.org/abs/2404.14219),https://arxiv.org/abs/2404.14219
microsoft/Phi-3-mini-4k-instruct,code generation,2531495,2024-04-22 16:18:17+00:00,2024-04-22 16:18:17+00:00,False,,
microsoft/Phi-3-mini-128k-instruct,code generation,187925,2024-04-22 16:26:23+00:00,2024-04-22 16:26:23+00:00,False,,
neulab/codebert-java,code generation,156948,2022-09-26 14:10:02+00:00,2022-09-26 14:10:02+00:00,True,"{https://arxiv.org/abs/2302.05527},",https://arxiv.org/abs/2302.05527
monster-labs/control_v1p_sd15_qrcode_monster,code generation,105029,2023-06-24 15:07:20+00:00,2023-06-24 15:07:20+00:00,False,,
neulab/codebert-javascript,code generation,92398,2022-09-23 15:19:35+00:00,2022-09-23 15:19:35+00:00,True,"{https://arxiv.org/abs/2302.05527},",https://arxiv.org/abs/2302.05527
Artigenz/Artigenz-Coder-DS-6.7B,code generation,86535,2024-04-15 21:06:39+00:00,2024-04-15 21:06:39+00:00,False,,
microsoft/Phi-3-medium-128k-instruct,code generation,64428,2024-05-07 15:27:32+00:00,2024-05-07 15:27:32+00:00,False,,
unsloth/Phi-3.5-mini-instruct-bnb-4bit,code generation,62430,2024-08-20 23:29:36+00:00,2024-08-20 23:29:36+00:00,True,Report](https://arxiv.org/abs/2404.14219),https://arxiv.org/abs/2404.14219
Salesforce/codet5-small,code generation,51246,2022-03-02 23:29:04+00:00,2022-03-02 23:29:04+00:00,True,Generation](https://arxiv.org/abs/2109.00859),https://arxiv.org/abs/2109.00859
microsoft/Phi-3-medium-4k-instruct,code generation,46892,2024-05-07 15:27:19+00:00,2024-05-07 15:27:19+00:00,False,,
microsoft/Phi-3.5-MoE-instruct,code generation,44775,2024-08-17 21:34:19+00:00,2024-08-17 21:34:19+00:00,True,Report](https://arxiv.org/abs/2404.14219),https://arxiv.org/abs/2404.14219
NousResearch/Hermes-3-Llama-3.1-8B,code generation,44650,2024-07-28 06:00:57+00:00,2024-07-28 06:00:57+00:00,True,Report**](https://arxiv.org/abs/2408.11857).,https://arxiv.org/abs/2408.11857
smallcloudai/Refact-1_6B-fim,codegen,36258,2023-08-29 15:48:36+00:00,2023-08-29 15:48:36+00:00,True,arxiv,
Qwen/CodeQwen1.5-7B-AWQ,code generation,32107,2024-04-21 10:23:58+00:00,2024-04-21 10:23:58+00:00,False,,
microsoft/Phi-3-small-8k-instruct,code generation,31346,2024-05-07 15:29:04+00:00,2024-05-07 15:29:04+00:00,False,,
cognitivecomputations/dolphin-2.8-mistral-7b-v02,codegen,24026,2024-03-28 06:24:16+00:00,2024-03-28 06:24:16+00:00,False,,
numind/NuExtract-tiny,code generation,22989,2024-05-31 11:47:05+00:00,2024-05-31 11:47:05+00:00,False,,
neulab/codebert-c,code generation,20290,2022-09-25 16:46:36+00:00,2022-09-25 16:46:36+00:00,True,"{https://arxiv.org/abs/2302.05527},",https://arxiv.org/abs/2302.05527
microsoft/Phi-3-small-128k-instruct,code generation,20248,2024-05-07 15:29:20+00:00,2024-05-07 15:29:20+00:00,False,,
onnx-community/Florence-2-base-ft,code gen,19232,2024-06-19 09:32:47+00:00,2024-06-19 09:32:47+00:00,False,,
